ave_spindle,std_spindle,max_spindle,min_spindle,median_spindle,rmse_spindle,pp_spindle,hdiff_spindle,fdiff_spindle,ave_x,std_x,max_x,min_x,median_x,rmse_x,pp_x,hdiff_x,fdiff_x,ave_y,std_y,max_y,min_y,median_y,rmse_y,pp_y,hdiff_y,fdiff_y,ave_z,std_z,max_z,min_z,median_z,rmse_z,pp_z,hdiff_z,fdiff_z
4.42558,4.96954,36.50014,0.00305,4.30616,6.65448,36.49709,11.09348,5.36515,-681.70804,342.7228,-83.7938,-975.6777,-904.5619,763.01033,891.8839,888.6393,445.1869,49.62249,176.85446,399.8257,-182.5368,50.0333,183.68422,891.8839,546.8026,218.0989,-280.83621,182.86721,0.0,-414.947,-411.7326,335.12593,414.947,414.947,414.947
8.76342,5.01914,21.65593,4.09864,6.83309,10.09898,17.5573,12.65328,7.57469,-415.28092,366.71703,-30.2401,-984.2719,-314.80855,554.02132,954.0318,915.1037,742.6071,108.63771,228.21974,411.3497,-192.6503,99.5267,252.75759,954.0318,602.717,464.39435,-415.8821,1.1366,-411.147,-416.747,-416.147,415.88366,5.6,0.0,0.0
10.10624,4.26417,24.67422,3.95825,9.94903,10.96901,20.71596,9.58892,6.68661,-585.2266,372.18166,-30.2719,-984.2719,-691.6274,693.54839,954.0,929.23282,774.9293,105.74139,227.53389,411.3497,-192.6503,110.8688,250.90419,954.0,599.4946,482.7171,-417.71504,1.13991,-411.147,-417.947,-417.947,417.7166,6.8,0.0,0.0
9.95577,5.25605,23.20322,4.02844,8.84732,11.25804,19.17478,14.39253,8.20948,-345.67813,320.36625,-30.2719,-962.4947,-215.3088,471.30447,932.2228,869.0237,521.86377,199.19959,207.6816,411.3497,-179.6971,220.041,287.77096,932.2228,573.5677,378.30425,-418.9469,2.34345,-411.147,-419.747,-419.747,418.95345,8.6,1.2546,0.0
9.26713,4.74249,24.13098,3.77209,9.0701,10.41014,20.3589,9.69542,8.27967,-748.66396,292.83107,-30.2485,-984.2719,-893.0129,803.89537,954.0234,788.9489,305.5459,156.51603,217.25911,411.3497,-192.6503,155.26,267.7663,954.0234,603.6328,439.2276,-420.2395,3.23061,-411.147,-421.547,-421.547,420.25192,10.4,10.1177,0.21938
9.60825,5.55792,26.31916,3.89416,8.20337,11.09995,22.425,15.0914,7.64794,-536.06306,362.31522,-41.0474,-970.9099,-646.5032,647.02081,929.8625,899.1046,749.6821,190.79408,196.94319,410.7727,-179.9291,176.5029,274.20612,929.8625,555.827,291.121,-420.89077,4.59946,-411.147,-423.347,-423.347,420.9159,12.2,12.2,0.5892
7.98883,4.82541,25.20829,3.81787,6.36006,9.33306,21.39042,9.09452,6.08844,-576.61158,363.6468,-30.2719,-984.2719,-664.2798,681.70368,954.0,915.56526,756.8285,180.3434,201.17377,410.5647,-192.6503,163.9364,270.17518,954.0,510.4949,382.8386,-422.0542,5.41865,-411.147,-425.147,-424.8864,422.08898,14.0,14.0,0.878
7.73672,5.1967,25.73016,3.73241,5.46281,9.32001,21.99774,9.7293,5.89084,-555.06703,372.03446,-47.0499,-984.0959,-656.3069,668.21333,937.046,889.8876,852.8537,220.39465,158.72827,410.8117,-179.4063,159.8302,271.60351,937.046,435.3221,244.5978,-392.57564,75.18876,-109.0274,-426.347,-425.9615,399.71113,317.3196,153.5567,15.2
8.8217,4.65778,26.7922,3.66527,8.10877,9.97584,23.12693,9.96796,5.88702,-604.30681,345.09516,-40.8921,-974.3101,-683.0538,695.90041,933.418,870.3932,705.1226,199.97967,211.22175,411.0767,-179.6504,273.691,290.87196,933.418,565.1199,334.854,-424.93936,6.18573,-411.147,-428.1473,-427.5521,424.98437,17.0003,17.0,0.6
7.28274,3.9992,21.19816,3.74157,5.48723,8.30854,17.45659,9.91546,6.18915,-356.70857,320.43983,-30.2719,-984.2719,-243.0564,479.50254,954.0,827.2241,582.9902,212.43781,215.28558,411.3497,-192.6723,334.7376,302.45281,954.0,603.1243,339.5714,-426.7989,6.36304,-411.147,-429.947,-429.347,426.84633,18.8,18.8,0.2204
